action,single_to_user,single_to_room,user_to_user,user_to_other_user,user_to_room,monster_to_user,monster_to_room,inventory_to_user,inventory_to_room,floor_item_to_user,floor_item_to_room
bearhug,,,You give %s a bearhug!,%s gives you a bone-crushing bearhug!,%s gives %s a bone-crushing bearhug!,,,,,,
bleed,You bleed all over the place!,%s is bleeding all over the place!,You bleed all over %s!,%s is bleeding all over you!,%s is bleeding all over %s!,You bleed all over %s!,%s is bleeding all over %s!,You bleed all over your %s!,%s is bleeding all over %s %s!,You bleed all over the %s!,%s bleeds all over the %s!
blink,You blink in disbelief!,%s blinks in disbelief!,You blink at %s in disbelief!,%s blinks at you in disbelief!,%s blinks at %s in disbelief!,You blink at %s in disbelief!,%s blinks at %s in disbelief!,You blink at your %s in disbelief!,%s blinks at %s %s in disbelief!,You blink at the %s in disbelief!,%s blinks at the %s in disbelief!
blush,You blush.,%s blushes a lovely shade of red.,,,,,,,,,
bow,You bow deeply.,%s bows deeply.,You bow to %s.,%s bows to you.,%s bows to %s.,You bow to %s.,%s bows to %s.,,,,
burp,You burp loudly!,%s burps loudly!,You burp at %s!,%s burps loudly at you!,%s burps loudly at %s!,You burp at %s!,%s burps loudly at %s!,You burp at your %s!,%s burps loudly at %s %s!,You burp at the %s!,%s burps loudly at the %s!
cackle,You lean your head back and cackle with insane glee!,%s leans their head back and cackkles with insane glee!,You cackle at %s insanely!,%s cackles insanely at you!,%s cackles insanely at %s!,You cackle insanely at %s!,%s cackles insanely at %s!,,,,
caress,,,You caress %s gently.,%s caresses you gently.,%s caresses %s gently.,You caress %s gently.,%s caresses %s gently.,You caress your %s gently.,%s caresses %s %s gently.,You caress the %s.,%s caresses the %s gently.
cheer,You cheer loudly!,%s cheers loudly!,You cheer %s on!,%s cheers you on!,%s cheers %s on!,,,,,,
chuckle,You chuckle softly.,%s is chuckling under %s breath.,You chuckle at %s.,%s chuckles softly at you.,%s chuckles softly at %s.,You chuckle at %s.,%s chuckles softly at %s.,You chuckle at your %s.,%s chuckles softly at %s %s.,You chuckle at the %s.,%s chuckles softly at the %s.
clap,You clap wildly!,%s claps wildly!,You clap wildly for %s!,%s is clapping wildly for you!,%s claps wildly for %s!,,,,,,
comfort,,,You comfort %s.,%s comforts you.,%s comforts %s.,,,,,,
cough,You cough your lungs out.,%s coughs quietly.,You cough towards %s.,%s coughs at you.,%s coughs at %s.,You cough at %s.,%s coughs at %s.,You cough at your %s.,%s coughs at %s %s.,You cough at the %s.,%s coughs at the %s.
cuff,,,You cuff %s!,%s cuffs you!,%s cuffs %s!,You cuff %s!,%s cuffs %s!,You cuff your %s!,%s cuffs %s %s!,You cuff the %s!,%s cuffs the %s!
curtsy,You curtsy gracefully.,%s curtsies gracefully.,You curtsy to %s.,%s curtsies to you.,%s curtsies to %s.,You curtsy to %s.,%s curtsies to %s.,,,,
dance,You dance a little jig!,%s dances a little jig!,You dance with %s.,%s dances with you!,%s dances with %s!,You dance with %s!,%s dances with %s!,,,,
