mob_id,mob_name,death_msg_id,sentence
1,giant rat,27,The giant rat falls to the ground with a tortured squeak.
2,lashworm,29,The lashworm falls dead at your feet.
3,filthbug,31,"The filthbug collapses, its legs curling tightly around it."
4,carrion beast,33,"The carrion beast falls to the ground with a yelp, and is still."
5,acid slime,35,The acid slime dissolves into a puddle of bluish goo.
6,orc rogue,39,The orc rogue collapses with a grunt.
7,kobold thief,41,The kobold thief falls to the ground with a shrill cry.
8,cave worm,8239,The cave worm collapes with a dull thump.
10,thug,8243,The thug collapses with a groan.
11,skeleton,8245,The skeleton crumbles into a pile of dust.
12,zombie,8247,The zombie collapses without a sound.
13,guardsman,8241,"The guardsman utters a sharp cry, and collapses."
14,guardsman,8241,"The guardsman utters a sharp cry, and collapses."
15,shade,8262,The shade vanishes with an eerie wail.
16,ghoul,8264,The ghoul collapses in a filthy heap.
17,wight,8266,The wight collapses into a broken heap.
18,orc sentry,8268,"The orc sentry eyes you evilly, and collapses."
19,orc lieutenant,8270,"The orc lieutenant utters a low growl, and dies."
20,mercenary,8272,The mercenary dies with an agonized moan.
21,half-ogre bodyguard,8274,The half-ogre bodyguard falls like a hewn tree.
22,Aiken,8465,"Aiken utters a sharp cry, and dies."
23,Thuluk,8469,Thuluk groans loudly and collapses.
24,Helfgrim,8471,"Helfgrim clutches his belly, and dies!"
25,Colin,8472,"Colin eyes you hatefully, and falls."
26,Skali,2824,Skali growls at you ferociously and dies!
27,Gurbultis,2825,Gurbultis collapses like a stuck pig.
28,Lady Sentara,2826,Lady Sentara wails in agony and drops to the ground!
29,dark cultist,8282,The dark cultist collapses without a sound.
30,grey spider,8285,"The grey spider collapses, its legs curling tightly around it."
31,mummy,8291,"The mummy's wrapping unravels, revealing nothing but dust."
32,bounty hunter,8314,"The bounty hunter reaches for you, then dies."
33,dark cleric,8316,The dark cleric collapses in a heap.
34,dark priest,8318,"The dark priest falls to the ground, and is still."
35,dark paladin,8321,The dark paladin falls to the ground with a grunt.
36,hellhound,8323,"The hellhound growls menacingly, and dies."
37,tentacled abomination,8325,The tentacled abomination collapses in a wet heap.
39,old man,2836,The old man lets out a ragged cough with his dying breath.
40,Sheriff Lionheart,2590,The Sheriff spits up blood and dies!
41,Giovanni,2835,Giovanni curses you with his dying breath!
42,Meia,2864,Meia shrieks at you with her dying breath!
48,dark goblin archer,8346,The dark goblin archer collapses with a spiteful hiss.
49,bandit,8350,"The bandit eyes you evilly, and dies."
50,wild dog,8352,"The dog yelps loudly, and dies."
51,forest spider,8354,The forest spider curls up and dies.
52,giant spider,8356,The giant spider collapses with an evil wail.
53,dark goblin,8358,The dark goblin spits up blood and dies!
54,kobold slave,8360,The kobold slave collapses with a sigh.
55,black orc,8362,The black orc falls to the ground with a grunt.
56,dire wolf,8364,"The dire wolf utters a low growl, and dies."
57,slime beast,8366,The slime beast dissolves into a mass of reeking flesh.
58,half-ogre warrior,8368,The half-ogre warrior falls to the ground with a loud thump.
59,Thrag,8370,"Thrag utters a deafening moan, and collapses."
60,minotaur champion,8409,The minotaur champion charges after you!
63,gigantic black ooze,8413,The giant black ooze dissolves.
64,death dog,8417,"The death dog growls softly, and dies."
65,skeletal warrior,8419,"The skeletal warrior falters, then collapses in a heap."
66,moaning spirit,8422,"The spirit gasps loudly, sighs, and disappears."
67,huge tiger beetle,8426,"The huge tiger beetle drops to the ground, its shell split."
68,guardian golem,8431,"The guardian golem collapses, shattering into a thousand shards."
69,chest,8433,"The mimic topples to the ground, broken."
70,warlock mercenary,8477,"The warlock mercenary attempts one last spell, but dies!"
71,giant bat,8483,"The giant bat squeaks loudly, and falls to the ground!"
72,gelatinous cube,8485,The gelatinous cube dissolves into a sloppy puddle.
80,cave bear,8568,The cave bear falls to the ground with a grunt!
82,troll,8572,"The troll spits up some black blood, and dies!"
84,fire lizard,8578,"The salamander falls to the ground, its flame extinguished!"
86,ogre,8581,"The ogre topples to the ground, shaking the room!"
90,young girl,8585,"The young girl frowns, and vanishes."
95,owlbear,8589,The owlbear falls to the ground with a heavy thump.
99,fire elemental,8594,The fire elemental dissipates!
100,frost serpent,8599,The frost serpent curls up and dies.
101,two-headed hydra,8601,The two-headed hydra collapses with a bellowing groan.
107,roc hatchling,176,"The roc hatchling lets out a squeal, and is dead."
108,ice sorceress,190,"Her illusion shattered, the ice sorceress falls as an old hag!"
109,giant rat,27,The giant rat falls to the ground with a tortured squeak.
110,stone golem,238,The stone golem crumbles into a pile of broken shards!
111,minotaur,241,The minotaur falls dead with an agonized bellow!
112,giant snake,243,"The giant snake hisses loudly, and dies."
113,banshee,8422,"The spirit gasps loudly, sighs, and disappears."
114,minotaur chieftain,249,"The minotaur chieftain curses at you spitefully, and dies!"
115,vampire rosebush,251,The vampire rosebush is destroyed in a flurry of leaves.
116,archer bush,254,The archer bush breaks and falls apart.
117,animated tree,257,"The animated tree cracks, falling to the ground with a deafening thump."
118,carnivorous plant,261,The carnivorous plant falls in a ruined heap.
119,wood golem,265,The wood golem explodes and falls into a pile of splinters.
120,earth elemental,269,"The earth elemental quivers, and crumbles into a pile of dirt."
121,dark druid,272,"The dark druid utters a low groan, and collapses."
122,high druid,276,The high druid collapses with a furious cry!
123,black orc captain,299,"The black orc captain falls, spitting up dark blood!"
124,black orc shaman,302,The black orc shaman collapses with a guttural cry!
125,dark goblin warlock,307,The dark goblin warlock collapses with a shrill cry!
126,slave-master,309,The slave-master topples to the ground with an indignant cry!
127,werewolf,312,"The werewolf growls loudly, and falls, reverting to his human form!"
128,shadowy healer,323,The healer disappears in a flash!
129,mad wizard,330,"The mad wizard looks confused, and dies!"
130,Jorah,2922,Jorah lets out a mighty roar before entering a portal and vanishing!
131,cyclops,340,"The cyclops topples to the ground, and explodes in greenish fire!"
133,violet spore,355,The violet spore collapses in on itself.
134,black fungus tree,357,The black tree collapses in a billowing cloud of spores!
135,giant toad,359,"The toad croaks in agony, and collapses wetly."
136,shambling mound,367,The shambling mound falls to pieces!
137,winged horror,372,"The winged horror utters a shrill cry, and falls to its death!"
138,swamp serpent,378,"The serpent hisses, and dies."
139,giant ant,380,"The giant ant collapses, its shell cracked and oozing!"
140,bola spider,384,"The spider screeches madly, and dies!"
141,serpentkin hunter,387,"The serpentkin hunter eyes you evilly, and dies."
142,dark cultist,8282,The dark cultist collapses without a sound.
143,dark cleric,8316,The dark cleric collapses in a heap.
144,dark priest,8318,"The dark priest falls to the ground, and is still."
145,dark paladin,8321,The dark paladin falls to the ground with a grunt.
146,dark warrior,390,The dark warrior dies with a moan!
147,dark warlock,393,"The dark warlock tries to cast one last spell, but dies."
148,dark assassin,397,The dark assassin spits up blood and dies!
149,dark mage,401,"The dark mage tries to cast one last spell, but dies!"
150,elite guard,403,"The elite guard clutches at you, spits up blood, and dies!"
151,guard captain,405,"The guard captain growls at you menacingly, and collapses!"
152,mutant,407,"The mutant sighs softy, and dies!"
153,earth elemental,269,"The earth elemental quivers, and crumbles into a pile of dirt."
154,winged horror,372,"The winged horror utters a shrill cry, and falls to its death!"
155,giant rattlesnake,378,"The serpent hisses, and dies."
156,bola spider,384,"The spider screeches madly, and dies!"
157,giant ant,380,"The giant ant collapses, its shell cracked and oozing!"
158,serpentkin hunter,387,"The serpentkin hunter eyes you evilly, and dies."
159,obsidian demon,411,The obsidian demon's broken shards evaporate in a puff of smoke!
160,magma man,413,"The magma man pulsates, and dissolves into a puddle!"
161,flame elemental,417,"The flame elemental utters an eerie wail, and dissipates!"
162,fire bat,418,The fire bat explodes in flame!
163,greater hellhound,421,The greater hellhound collapses with a wail!
164,pyro jelly,423,"The pyro jelly quivers, and dissolves!"
165,serpentkin hunter,387,"The serpentkin hunter eyes you evilly, and dies."
166,serpentkin warrior,424,"The serpentkin warrior hisses loudly, and dies!"
167,serpentkin shaman,426,"The serpentkin shaman tries one last spell, but dies!"
168,serpentkin chieftain,427,"The serpentkin chieftain hisses loudly, and dies!"
169,serpentkin witchdoctor,428,"The serpentkin witchdoctor hisses evilly, and dies!"
170,glowing worm,430,The glowing worm curls up and dies!
171,crystalline spider,433,The crystal spider shatters into a thousand shards!
