number,kind,line1,line2,line3
2,cast,"You cast %s!","%s casts %s!","%s casts %s!"
3,other,"You fire an %s at %s for %d damage!","%s throws an %s at you for %d damage!","%s throws an %s at %s!"
4,cast,"You cast %s, and a shimmering field forms about you.","","%s casts %s on %s!"
5,other,"You fire a %s at %s for %d damage!","%s sears you with a %s for %d damage!","%s fires a %s at %s!"
6,cast,"You cast %s at %s, surrounding him with a pale blue glow.","%s casts a spell on you, surrounding you with a pale blue glow.","%s casts %s on %s!"
7,cast,"You cast %s on %s!","%s casts %s upon you!","%s casts %s on %s!"
8,other,"You let loose a %s at %s for %d damage!","%s fries you with a %s for %d damage!","%s fires a %s at %s!"
9,cast,"You cast %s on %s, surrounding him with a pale red glow.","%s casts %s on you, surrounding you with a pale red glow.","%s casts %s on %s!"
10,cast,"You summon %s to slice %s for %d damage!","%s slices you with a cloud of %s for %d damage!","%s casts %s at %s!"
11,verbs,"pound|smash|crush","pounds|smashes|crushes","pounds|smashes|crushes"
12,commands,"go manhole","go man","enter manhole"
13,commands,"go secret","go sec","enter secret"
14,cast,"You cast %s at %s for %d damage!","%s casts %s on you for %d damage!","%s casts %s on %s for %s damage!"
15,cast,"You cast %s on %s, healing %d damage!","%s casts %s on you!","%s casts %s on %s!"
16,cast,"You cast %s on %s!","%s casts a spell on you!","%s casts %s on %s!"
17,cast,"You cast %s on %s!","%s casts a spell on you!","%s casts %s on %s!"
18,other,"You fire a bolt of %s at %s for %d damage!","%s fires a bolt of %s at you for %d damage!","%s fires a bolt of %s at %s for %s damage!"
19,cast,"You cast %s on %s for %d healing!","%s casts %s on you!","%s casts %s on %s!"
20,cast,"You cast %s on %s for %d damage!","%s casts %s on you for %d damage!","%s casts %s on %s!"
21,cast,"You cast %s on %s!","%s casts %s on you!","%s casts %s on %s!"
22,cast,"You cast %s, surrounding everyone in the party in a white glow!","%s casts a spell on you, surrounding you with a white glow!","%s casts %s, surrounding everyone in the their party with a white glow!"
23,cast,"You cast %s, surrounding all your foes with a black glow!","%s casts a spell on you, surrounding you with a black glow!","%s casts a spell, surrounding their foes with a black glow!"
24,cast,"You cast %s on %s for %d damage!","%s casts %s on you for %d damage!","%s casts %s on %s for %s damage!"
25,cast,"You cast %s on everyone in the room!","%s casts %s on everyone in the room!","%s casts %s on everyone in the room!"
26,other,"A %s creeps into the room from %s.","The %s creeps out of the room to %s.","The giant rat creeps in after you!"
27,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The giant rat falls to the ground with a tortured squeak."
28,other,"A %s crawls into the room from %s.","The %s crawls out of the room to %s.","The lashworm crawls into the room after you!"
29,other,"The %s darts forward and bites you for %d damage!","The %s darts forward and bites %s for %s damage!","The lashworm falls dead at your feet."
30,other,"A %s scuttles into the room from %s.","The %s scuttles out of the room to %s.","The filthbug chases you into the room!"
31,other,"The %s claws you with its pincers for %d damage!","The %s rips %s with its claws for %s damage!","The filthbug collapses, its legs curling tightly around it."
32,other,"A %s creeps in the room from %s.","The %s creeps out of the room to %s.","The carrion beast charges after you, hissing furiously!"
33,other,"The %s rips you for %d damage!","The %s leaps on %s and chomps him for %s damage!","The carrion beast falls to the ground with a yelp, and is still."
34,other,"A %s oozes into the room from %s.","The %s oozes out of the room to %s.","The acid slime oozes in after you!"
35,other,"The %s whips you with its pseudopod for %d damage!","The %s whips %s with its pseudopod for %s damage!","The acid slime dissolves into a puddle of bluish goo."
36,commands,"go hole","go hol","enter hole"
37,cast,"You cast %s on %s.","%s casts %s on you!","%s casts %s on %s!"
38,other,"An %s walks into the room from %s.","The %s walks out of the room to %s.","The orc rogue follows you into the room!"
39,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The orc rogue collapses with a grunt."
