spell_id,spell_name,start,stop,desc_msg_id,cast_start_self,cast_start_target,cast_start_room,start_msg_id
4,ethereal shield,You feel protected!,The effects of ethereal shield wear off!,8531,,,,
6,resist cold,You feel resistant to cold!,The effects of resist cold wear off!,8526,,,,
7,smite,You feel powerful!,The effects of smite wear off!,8532,,,,
9,resist fire,You feel resistant to fire!,The effects of resist fire wear off!,8527,,,,
14,bless,You feel lucky!,The effects of bless wear off!,8539,,,,
15,curse,You feel unlucky!,The effects of curse wear off!,8540,,,,
20,holy aura,You feel safe from evil!,You no longer feel safe from evil!,8541,,,,
21,unholy aura,You feel safe from good!,You no longer feel safe from good!,8542,,,,
23,chant,You feel lucky!,The effects of bless wear off!,8539,,,,
24,protective aura,You are surrounded in a silvery aura!,The silvery aura fades.,158,,,,
26,starlight,You are surrounded by a shimmering light!,Your starlight spell fades away.,2092,,,,
28,resist fire,You feel resistant to fire!,The effects of resist fire wear off!,8527,,,,
29,resist cold,You feel resistant to cold!,The effects of resist cold wear off!,8526,,,,
32,resist lightning,You feel resistant to lightning!,The effects of resist lightning wear off!,8529,,,,
34,barkskin,You feel tough!,The effects of barkskin wear off!,8528,,,,
37,way of the owl,You feel strong-willed!,The effects of way of the owl wear off!,8546,,,,
38,way of the tiger,You feel ferocious!,The effects of way of the tiger wear off!,8547,,,,
39,way of the cat,You feel stealthy!,The effects of way of the cat wear off!,8548,,,,
40,way of the rat,You are immune to poison!,The way of the rat wears off.,587,,,,
42,song of valour,You feel confident!,The effects of valour wear off!,8605,,,,
43,song of misfortune,You feel unlucky!,The effects of misfortune wear off!,8606,,,,
45,song of brilliance,You feel smart!,Your intelligence returns to normal.,8549,,,,
46,song of wisdom,You feel wise!,Your wisdom returns to normal.,8550,,,,
47,song of might,You feel strong!,Your strength returns to normal.,8551,,,,
48,song of agility,You feel agile!,Your agility returns to normal.,8552,,,,
51,flash,You are blind!,You can see again!,8534,,,,
52,magic armour,You feel armoured!,The effects of magic armour wear off!,8533,,,,
53,song of dazzling,You are confused!,The effects of confusion wear off!,8538,,,,
57,speed,You feel fast!,You slow down.,8537,,,,
58,deathtouch,,,,You reach out and touch %s!,%s reaches out and touches you!,%s reaches out and touches %s!,760
59,slow,You feel slow!,You speed up.,8536,,,,
60,fear,You are afraid!,The effects of fear wear off!,8543,,,,
61,greater curse,You feel VERY unlucky!,The effects of greater curse wear off.,549,,,,
62,divine favour,You feel EXTREMELY lucky!,The effects of divine favour wear off.,550,,,,
63,confusion,You are confused!,The effects of confusion wear off!,8538,,,,
64,shockshield,You are surrounded by a shield of lightning!,The effects of shockshield wear off!,8535,,,,
66,hold person,Your legs are paralyzed!,You can move again!,8544,,,,
67,divine disfavour,You feel EXTREMELY unlucky!,The effects of divine disfavour wear off.,551,,,,
68,mute,You are silenced!,You can talk again!,78,,,,
69,magebind,Your powers are drained from you!,You feel your mystical energies return.,1827,,,,
71,burning aura,You are on fire!,The flames enveloping you die down!,8596,You point your finger at %s and clench your fist.,%s points a finger at you and clenches a fist.,%s points a finger at %s and clenches a fist.,621
73,black wind,You are blind!,You can see again!,8534,You make a sweeping gesture!,%s makes a sweeping gesture!,%s makes a sweeping gesture!,552
75,blight,You feel unlucky!,The effects of curse wear off!,8540,,,,
77,blind,You are blind!,You can see again!,8534,,,,
79,spits a stream of venom,You feel ill.,The effects of the poison wear off!,8575,,,,
80,bites,You feel ill.,The effects of the poison wear off!,8575,,,,
81,savagely bites,You feel ill.,The effects of the poison wear off!,8575,,,,
83,high-pitched scream,You feel confused!,The effects of the death dog's shriek wear off!,8560,,,,
84,breathes,You are blind!,The effects of the mummy's breath wears off!,8521,,,,
85,speaks in a booming voice,You feel cursed!,The effects of the mummy's curse wears off!,8561,,,,
91,alertness,You feel perceptive!,The effects of alertness wear off!,8525,,,,
93,entangle,You are entangled!,The effects of entangle wear off!,8530,,,,
96,song of foolishness,You feel foolish!,Your wisdom returns to normal.,8553,,,,
97,song of stupidity,You feel dull!,Your intelligence returns to normal.,8554,,,,
98,song of weakness,You feel weak!,Your strength returns to normal.,8555,,,,
99,song of clumsiness,You feel clumsy!,Your agility returns to normal.,8556,,,,
100,song of traveling,Your load is lightened!,The effects of song of traveling wear off.,8557,,,,
103,way of the boar,You feel berserk!,The effects of way of the boar wear off.,8558,,,,
105,way of the monkey,You feel evasive!,The effects of way of the monkey wear off.,8559,,,,
106,way of the mantis,You feel fast!,You slow down.,8537,,,,
107,protection from evil,You feel safe from evil!,You no longer feel safe from evil!,8541,,,,
108,protection from good,You feel safe from good!,You no longer feel safe from good!,8542,,,,
114,weapon major bless,You feel lucky!,The effects of bless wear off!,8539,,,,
116,envelops,You are on fire!,The flames enveloping you die down!,8596,,,,
118,incense,,The effects of the incense wear off.,8608,,,,
120,fireball,,,,You throw a fireball!,%s throws a fireball!,%s throws a fireball!,100
125,paralyze,Your legs are paralyzed!,You can move again!,8544,,,,
127,weakness touch,You feel weak!,You feel your strength return.,52,,,,
128,stunned,You are stunned!,You are no longer stunned.,57,,,,
129,blur,You are blurred!,The effects of blur wear off.,68,,,,
130,shadowform,You are a shadow!,You return to your normal form.,70,,,,
131,stinking cloud,You feel nauseous!,You feel less sick.,71,,,,
132,mageshield,You feel protected!,Your mageshield shimmers and fades.,73,,,,
133,dancing blades,,,,You sketch a sharp symbol in the air.,%s sketches a sharp symbol in the air.,%s sketches a sharp symbol in the air.,102
134,vulnerability,You feel vulnerable!,You feel safer now.,81,,,,
135,ice storm,You are freezing!,You are no longer freezing.,84,You wave your hands about expansively.,%s makes a sweeping gesture.,%s makes a sweeping gesture.,104
137,senselessness,You feel oblivious!,Your awareness returns to normal.,85,,,,
138,rapid healing,You are healing faster!,Your healing rate returns to normal.,86,,,,
139,acid rain,You are covered in acid!,The acid covering you dries up.,87,You clutch at the sky.,%s clutches at the sky.,%s clutches at the sky.,106
140,chaos storm,,,,You wave your hands about menacingly.,%s makes a menacing gesture!,%s makes a menacing gesture!,108
141,partial petrification,You are partially petrified!,Your body returns to normal.,88,,,,
142,poison cloud,You feel ill.,The effects of the poison wear off!,8575,,,,
143,rotting flesh,You are rotting!,The disease dies down.,90,You point your finger at %s and utter a harsh word!,%s points at you and utters a harsh word!,%s points at %s and utters a harsh word!,279
144,iron faith,Your resistance is strengthened!,The effects of iron faith wear off.,91,,,,
146,greater bless,You feel VERY lucky!,The effects of greater bless wear off.,93,,,,
147,glitterdust,You are glittering!,The glittering dust wears off.,94,,,,
148,holy armour,You feel protected!,The effects of holy armour wear off!,95,,,,
149,unholy armour,You feel protected!,The effects of unholy armour wear off!,96,,,,
154,mental blast,,,,You use the silvery skullcap.,%s puts his hands on his silvery skullcap.,%s puts his hands on his silvery skullcap.,114
155,eagle helm,Your eyes are tingling!,Your awareness returns to normal.,117,,,,
157,amethyst pendant,You are blurred!,The effects of blur wear off.,68,,,,
158,shadow cloak,You are a shadow!,You return to your normal form.,70,,,,
159,blazing inferno,,,,You cross your bracers!,%s crosses their bracers!,%s crosses their bracers!,123
161,white satin gloves,,,,You lay hands on %s.,%s lays hands on you!,%s lays hands on %s!,234
162,dark touch,,,,You lay hands on %s.,%s lays hands on you!,%s lays hands on %s!,234
163,opal ring,,,,You point your opal ring at %s.,%s points an opal ring at you!,%s points an opal ring at %s!,129
165,multicoloured sash,You feel evasive!,Your quickness returns to normal.,132,,,,
168,winged sandals,You feel fast!,You slow down.,8537,,,,
169,mirrored shield,You feel fast!,You slow down.,8537,,,,
171,ebony greataxe,You feel unlucky!,The effects of curse wear off!,8540,Your ebony greataxe glitters darkly.,,%s's ebony greataxe glitters darkly.,138
173,thunderstaff-lbol,,,,You raise your thunderstaff up high!,%s raises a thunderstaff up high!,%s raises a thunderstaff up high!,141
175,frost sceptre-fjet,,,,You point your ice sceptre at %s!,%s points an ice sceptre at you!,%s points an ice sceptre at %s!,227
176,frost sceptre-chill touch,You are chilled!,The chill fades away.,145,,,,
177,flay,You feel ill.,The effects of the poison wear off!,8575,,,,
179,heavy black rod,You are blind!,You can see again!,8534,,,,
183,green potion,You feel fast!,You slow down.,8537,,,,
186,silvery potion,Your body begins to tingle!,The tingling fades away.,3426,,,,
187,orange potion,You feel heroic!,Your heroism wears off.,160,,,,
189,black orb,Your legs are petrified!,Your legs return to normal.,163,,,,
190,iron tube,,,,A gout of flame erupts from your iron tube!,A gout of flame erupts from %s's iron tube!,A gout of flame erupts from %s's iron tube!,165
191,shriek,You are confused!,The effects of confusion wear off!,8538,,,,
192,quake,,,,,%s raises his staff in the air!,,192
193,roar,You are too scared to flee!,You feel braver.,194,,,,
194,freeze,You are frozen to the ground!,You become unfrozen.,196,,The %s makes a sweeping gesture.,,198
196,black curse,A black curse is upon you!,Your vision returns to normal.,202,,,,
199,rose book confuse,You are confused!,The effects of confusion wear off!,8538,,,,
200,blind book,You are blind!,You can see again!,8534,,,,
201,rip,You are bleeding all over the place!,You stop bleeding.,236,,,,
202,banshee's wail,You are deathly afraid!,You don't feel quite so afraid anymore.,247,,,,
207,ember,,,,You glow bright red and point a finger at %s!,%s glows bright red and points a finger at you!,%s glows bright red and points a finger at %s!,3088
209,tower of flame,,,,,The %s points at you and clenches his fist!,The %s points at %s and clenches his fist!,277
211,soul rip,,,,You begin to chant in a fierce tone!,%s begins to chant in a fierce tone!,%s begins to chant in a fierce tone!,3086
212,chaos storm,,,,,The %s makes a menacing gesture!,,283
214,black gem,You are blind and dizzy!,You are no longer blind and dizzy.,293,,,,
216,sphere of implosion,,,,You point your finger at %s and utter a harsh word!,%s points at you and utters a harsh word!,%s points at %s and utters a harsh word!,279
234,engulfs,You are engulfed!,You are freed!,365,,,,
237,thick webbing,You are trapped in webbing!,You are freed from the webbing!,382,,,,
238,spits,You feel dizzy and weak!,You are no longer dizzy and weak!,388,,,,
239,summon fire elemental,,,,You make a sweeping gesture!,%s makes a sweeping gesture!,%s makes a sweeping gesture!,552
240,summon ice elemental,,,,You make a sweeping gesture!,%s makes a sweeping gesture!,%s makes a sweeping gesture!,552
241,summon lightning elemental,,,,You make a sweeping gesture!,%s makes a sweeping gesture!,%s makes a sweeping gesture!,552
242,summon stone elemental,,,,You make a sweeping gesture!,%s makes a sweeping gesture!,%s makes a sweeping gesture!,552
243,fireball,,,,,The %s throws a fireball!,,395
249,yellow fungus,You are paralyzed!,You can move again.,441,,,,
250,red fungus,You feel ill.,The effects of the poison wear off!,8575,,,,
251,paralyze,Your legs are paralyzed!,You can move again!,8544,,,,
253,black wind,You are blind!,You can see again!,8534,,,,
255,corrosion,You feel vulnerable!,You feel safer now.,81,,,,
256,solid fog,You feel slow!,You speed up.,8536,,,,
259,rain of blood,,,,,The %s clutches at the sky!,,480
260,vortex of pain,You are in agony!,The intense pain fades away.,483,,The %s makes a sweeping gesture!,,484
